Class,Confidence,X,Y,Width,Height,Timestamp
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,265,119,467,428
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,259,123,467,430
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,260,117,470,425
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,256,116,466,429
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,264,119,463,426
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,214,150,359,258
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,172,144,370,423
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,160,138,347,437
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,144,143,335,442
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,140,143,333,450
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,133,149,328,453
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,128,151,325,453
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,123,153,327,455
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,123,150,326,451
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,121,154,330,450
